"article";"img_number";"problem";"bid"
"LO10016101:1989_18:1";"12";"Missing reference in file 2";"FER0079487"
"LO10016101:1989_18:1";"12";"Missing reference in file 2";"SBL0109491"
"LO10016101:1989_18:1";"12";"Missing reference in file 1";"TO00307000"
"LO10016101:1989_18:1";"12";"Missing reference in file 1";"FER0079486"
"LO10016101:1989_18:1";"12";"Missing reference in file 1";"RAV0132349"
"LO10016101:1989_18:1";"12";"Missing reference in file 1";"RAV0125507"
"LO10016101:1989_18:1";"12";"Missing reference in file 1";"VEA0037266"
"LO10016101:1989_18:1";"12";"Missing reference in file 1";"MIL0047683"
"LO10016101:1989_18:1";"12, 13";"Missing page in file 1";""
"LO10016101:1989_18:1";"13";"Missing reference in file 2";"SBL0109491"
"LO10016101:1989_18:1";"13";"Missing reference in file 1";"UBOE002687"
"LO10016101:1989_18:1";"13";"Missing reference in file 1";"BVEE010360"
"LO10016101:1989_18:1";"13";"Missing reference in file 1";"SBL0229217"
"LO10016101:1989_18:1";"13";"Missing reference in file 1";"TO00214007"
"LO10016101:1989_18:1";"13";"Missing reference in file 1";"SBL0129280"
"LO10016101:1989_18:1";"14";"Missing reference in file 1";"VEA1198101"
"LO10016101:1989_18:1";"14";"Missing reference in file 1";"SBL0256826"
"LO10016101:1989_18:1";"14";"Missing reference in file 1";"LO10015953"
"LO10016101:1989_18:1";"14";"Missing reference in file 1";"SBL0224015"
"LO10016101:1989_18:1";"14";"Missing reference in file 1";"VEA0053064"
"LO10016101:1989_18:1";"15";"Missing reference in file 2";"SBL0129998"
"LO10016101:1989_18:1";"15";"Missing reference in file 1";"PUV0470864"
"LO10016101:1989_18:1";"15";"Missing reference in file 1";"SBL0218954"
"LO10016101:1989_18:1";"15";"Missing reference in file 1";"TO00107911"
"LO10016101:1989_18:1";"15";"Missing reference in file 1";"BRI0024494"
"LO10016101:1989_18:1";"15";"Missing reference in file 1";"TO00315809"
"LO10016101:1989_18:1";"15";"Missing reference in file 1";"TO00323804"
"LO10016101:1989_18:1";"16";"Missing reference in file 2";"RLZ0179522"
"LO10016101:1989_18:1";"16";"Missing reference in file 2";"RAV0176945"
"LO10016101:1989_18:1";"16";"Missing reference in file 2";"MIL0130924"
"LO10016101:1989_18:1";"16";"Missing reference in file 2";"IEI0059081"
"LO10016101:1989_18:1";"16";"Missing reference in file 1";"RML0001577"
"LO10016101:1989_18:1";"16";"Missing reference in file 1";"RT10039930"
"LO10016101:1989_18:1";"16";"Missing reference in file 1";"PUV0207300"
"LO10016101:1989_18:1";"16";"Missing reference in file 1";"SBL0708646"
"LO10016101:1989_18:1";"16";"Missing reference in file 1";"FER0048235"
"LO10016101:1989_18:1";"16";"Missing reference in file 1";"MIL0200022"
"LO10016101:1989_18:1";"16";"Missing reference in file 1";"SBL0229236"
"LO10016101:1989_18:1";"16";"Missing reference in file 1";"LO10016011"
"LO10016101:1989_18:1";"16";"Missing reference in file 1";"MIL0061615"
"LO10016101:1989_18:1";"16";"Missing reference in file 1";"MIL0130920"
"LO10016101:1989_18:1";"16";"Missing reference in file 1";"SBL0709464"
"LO10016101:1989_18:1";"16";"Missing reference in file 1";"RAV0101109"
"LO10016101:1989_18:1";"16";"Missing reference in file 1";"RMS0042315"
"LO10016101:1989_18:1";"17";"Missing page in file 1";""
"LO10016101:1989_18:1";"18";"Missing reference in file 1";"VEA0113289"
"LO10016101:1989_18:1";"18";"Missing reference in file 1";"SBL0118571"
"LO10016101:1989_18:1";"18";"Missing reference in file 1";"RAV0148790"
"LO10016101:1989_18:1";"19";"Missing reference in file 2";"PUV0159680"
"LO10016101:1989_18:1";"19";"Missing reference in file 1";"LO10016101"
"LO10016101:1989_18:1";"19";"Missing reference in file 1";"VIA0002415"
"LO10016101:1989_18:1";"19";"Missing reference in file 1";"PUV0190631"
"LO10016101:1989_18:1";"36";"Missing reference in file 2";"NAP0156883"
"LO10016101:1989_18:1";"36";"Missing reference in file 1";"NAP0487001"
"LO10016101:1989_18:1";"36";"Missing reference in file 1";"NAP0101542"
"LO10016101:1989_18:1";"42";"Missing reference in file 1";"SBL0145643"
"LO10016101:1989_18:1";"42";"Missing reference in file 1";"SBL0154815"
"LO10016101:1989_18:1";"42";"Missing reference in file 1";"MIL0063781"
"LO10016101:1989_18:1";"44";"Missing page in file 2";""
"LO10016101:1989_18:1";"46";"Missing reference in file 1";"VEA0039294"
"LO10016101:1989_18:1";"47";"Missing reference in file 1";"VEA0043590"
"LO10016101:1989_18:1";"47";"Missing reference in file 1";"SBL0210135"
"LO10016101:1989_18:1";"47";"Missing reference in file 1";"TO00311548"
"LO10016101:1989_18:1";"50";"Missing reference in file 1";"SBL0679460"
"LO10016101:1989_18:1";"51";"Missing reference in file 2";"UMC0347286"
"LO10016101:1989_18:1";"51";"Missing reference in file 1";"UMC0347283"
"LO10016101:1989_18:1";"56";"Missing reference in file 1";"SBL0226771"
"LO10016101:1989_18:1";"57";"Missing reference in file 1";"RAV0073119"
"LO10016101:1989_18:1";"57";"Missing reference in file 1";"TO00311413"
"LO10016101:1989_18:1";"57";"Missing reference in file 1";"SBL0708646"
"LO10016101:1989_18:1";"57";"Missing reference in file 1";"FER0048235"
"LO10016101:1989_18:1";"57";"Missing reference in file 1";"MIL0200022"
"LO10016101:1989_18:1";"57";"Missing reference in file 1";"SBL0229236"
"LO10016101:1989_18:1";"57";"Missing reference in file 1";"PUV0321764"
"LO10016101:2002_43:8";"267";"Missing reference in file 2";"CFI0149063"
"LO10016101:2002_43:8";"267";"Missing reference in file 2";"IEI0124998"
"LO10016101:2002_43:8";"267";"Missing reference in file 1";"CFI0032963"
"LO10016101:2002_43:8";"267";"Missing reference in file 1";"IEI0051677"
"LO10016101:2002_43:8";"267";"Missing reference in file 1";"VIA0074147"
"LO10016101:2002_43:8";"267";"Missing reference in file 1";"VIA0304859"
"LO10016101:2002_43:8";"267";"Missing reference in file 1";"VIA0090669"
"LO10016101:2002_43:8";"267";"Missing reference in file 1";"PAV0055970"
"LO10016101:2002_43:8";"267";"Missing reference in file 1";"VIA0063947"
"LO10016101:2002_43:8";"268";"Missing reference in file 2";"UBO0121708"
"LO10016101:2002_43:8";"268";"Missing reference in file 1";"CFI0207624"
"LO10016101:2002_43:8";"268";"Missing reference in file 1";"MIL0157544"
"LO10016101:2002_43:8";"268";"Missing reference in file 1";"MIL0157544"
"LO10016101:2002_43:8";"268";"Missing reference in file 1";"CFI0003451"
"LO10016101:2002_43:8";"268";"Missing reference in file 1";"RAV0335284"
"LO10016101:2002_43:8";"268";"Missing reference in file 1";"IEI0401307"
"LO10016101:2002_43:8";"268";"Missing reference in file 1";"UBO0197638"
"LO10016101:2002_43:8";"268";"Missing reference in file 1";"PAV0102913"
"LO10016101:2002_43:8";"268";"Missing reference in file 1";"IEI0401307"
"LO10016101:2002_43:8";"268";"Missing reference in file 1";"UBO0197638"
"LO10016101:2002_43:8";"270";"Missing reference in file 1";"PUV0157430"
"LO10016101:2002_43:8";"270";"Missing reference in file 1";"TO01553970"
"LO10016101:2002_43:8";"270";"Missing reference in file 1";"SBL0436673"
"LO10016101:2002_43:8";"270";"Missing reference in file 1";"RAV0046786"
"LO10016101:2002_43:8";"270";"Missing reference in file 1";"CFI0015451"
"LO10016101:2002_43:8";"270";"Missing reference in file 1";"VEA0052564"
"LO10016101:2002_43:8";"271";"Missing reference in file 1";"RMSE000831"
"LO10016101:2002_43:8";"271";"Missing reference in file 1";"TSA0343166"
"LO10016101:2002_43:8";"271";"Missing reference in file 1";"UBO3884826"
"LO10016101:2002_43:8";"271";"Missing reference in file 1";"CFI0426585"
"LO10016101:2002_43:8";"271";"Missing reference in file 1";"VIA0071081"
"LO10016101:2002_43:8";"271";"Missing reference in file 1";"TO0E001174"
"LO10016101:2002_43:8";"271";"Missing reference in file 1";"LO10016101"
"LO10016101:2002_43:8";"272";"Missing reference in file 2";"IEI0122148"
"LO10016101:2002_43:8";"272";"Missing reference in file 2";"PUV0306422"
"LO10016101:2002_43:8";"272";"Missing reference in file 1";"SBL0312651"
"LO10016101:2002_43:8";"272";"Missing reference in file 1";"LO10010853"
"LO10016101:2002_43:8";"272";"Missing reference in file 1";"VEA0067392"
"LO10016101:2002_43:8";"272";"Missing reference in file 1";"VEA0108655"
"LO10016101:2002_43:8";"272";"Missing reference in file 1";"VEA0095151"
"LO10016101:2002_43:8";"272";"Missing reference in file 1";"CFI0107786"
"LO10016101:2002_43:8";"272";"Missing reference in file 1";"VEA0077129"
"LO10016101:2002_43:8";"272";"Missing reference in file 1";"IEI0051677"
"LO10016101:2002_43:8";"272";"Missing reference in file 1";"RAV0079698"
"LO10016101:2002_43:8";"272";"Missing reference in file 1";"RAV0308092"
"LO10016101:2002_43:8";"272";"Missing reference in file 1";"SBL0327699"
"LO10016101:2002_43:8";"272";"Missing reference in file 1";"PUV0290948"
"LO10016101:2002_43:8";"273";"Missing reference in file 2";"IEI0085071"
"LO10016101:2002_43:8";"273";"Missing reference in file 2";"IEI0124998"
"LO10016101:2002_43:8";"273";"Missing reference in file 1";"RAV0002005"
"LO10016101:2002_43:8";"273";"Missing reference in file 1";"VEA0015231"
"LO10016101:2002_43:8";"273";"Missing reference in file 1";"CFI0102496"
"LO10016101:2002_43:8";"273";"Missing reference in file 1";"PAL0064569"
"LO10016101:2002_43:8";"273";"Missing reference in file 1";"UFI0018284"
