Author cleaned,Author editable,Viaf id,Viaf OK,Internal id,Internal id OK,notes,class
"Davide da Portogruaro, P.","Davide da Portogruaro, P.",http://viaf.org/viaf/,,24,24,,2
"Savio, P.","Savio, P.",http://viaf.org/viaf/,,197,197,,2
"Pagani, P.","Pagani, Pietro",http://viaf.org/viaf/,,368,368,,2
"PAGANI, PIERO","Pagani, Pietro",http://viaf.org/viaf/,,368,368,,2
"Montelcone, G.","Montelcone, G.",http://viaf.org/viaf/,,1268,1179,,2
", A. M.",", A. M.",http://viaf.org/viaf/,,1417,1417,,2
"Stefini, Tommaso","Stefini, Tommaso",http://viaf.org/viaf/,,28,28,,0
"Mascarin, Laura","Mascarin, Laura",http://viaf.org/viaf/,,40,40,,0
"Magrini, Alberto","Magrini, Alberto",http://viaf.org/viaf/,,74,74,sebina,0
"Magrini, A.","Magrini, Alberto",http://viaf.org/viaf/,,74,74,sebina,0
"Pilla, Flavio","Pilla, Flavio",http://viaf.org/viaf/,,77,77,,0
"Minelli, Biancastella Pittaro Cadore","Pittaro Cadore Minelli, Biancastella ",http://viaf.org/viaf/,,120,120,sebina,0
"Feltresi, Tiziana","Feltresi, Tiziana",http://viaf.org/viaf/,,121,121,,0
"BORTOLATO, GINA","Bortolato, Gina",http://viaf.org/viaf/,,154,154,,0
"Bortolato, Gina","Bortolato, Gina",http://viaf.org/viaf/,,154,154,,0
"Catena, Renato","Catena, Renato",http://viaf.org/viaf/,,157,157,sebina,0
"PIETRIBONI, E.","Pietriboni, Ernesto",http://viaf.org/viaf/,,168,168,sebina,0
"Pietriboni, Ernesto","Pietriboni, Ernesto",http://viaf.org/viaf/,,168,168,sebina,0
"Grendele, Jasminka","Grendele, Jasminka Maria",http://viaf.org/viaf/,,186,186,sebina,0
"Zangrando, Mario","Zangrando, Mario",http://viaf.org/viaf/,,188,188,sebina,0
"Ferrard, Christopher","Ferrard, Christopher",http://viaf.org/viaf/,,192,192,,0
"Naim, Margherita","Naim, Margherita",http://viaf.org/viaf/,,196,196,sebina,0
"Savino, Patrizia Di","Di Savino, Patrizia ",http://viaf.org/viaf/,,197,197,,0
"Ganza, Gilberto","Ganza, Gilberto",http://viaf.org/viaf/,,199,199,,0
"Benzoni, A.","Benzoni, Antonio",http://viaf.org/viaf/,,206,206,,0
"Benzoni, Antonio","Benzoni, Antonio",http://viaf.org/viaf/,,206,206,,0
"Bonaldo, Franca","Bonaldo, Franca",http://viaf.org/viaf/,,207,207,,0
"Aldighieri, Gianfranco","Aldighieri, Gianfranco",http://viaf.org/viaf/,,218,218,sebina,0
"Picariello Foralosso, A.","Picariello Foralosso, Annamaria",http://viaf.org/viaf/,,271,271,sebina,0
"Grelli, Paola","Grelli, Paola",http://viaf.org/viaf/,,272,272,,0
"Medina, Adriana Maria","Medina, Adriana Maria",http://viaf.org/viaf/,,275,275,sebina,0
"Cristofoli, Angelo Ernesto","Cristofoli, Angelo Ernesto",http://viaf.org/viaf/,,276,276,sebina,0
"Brandi, Gemma","Brandi, Gemma",http://viaf.org/viaf/,,285,285,sebina,0
"Fioravanzo, Daniele","Fioravanzo, Daniele",http://viaf.org/viaf/,,325,325,sebina,0
"Cova, Pier Luigi","Cova, Pier Luigi",http://viaf.org/viaf/,,352,352,sebina,0
"Sarnataro, Maria Maddalena","Sarnataro, Maria Maddalena",http://viaf.org/viaf/,,355,355,,0
"Veronese, Fabiana","Veronese, Fabiana",http://viaf.org/viaf/,,374,374,,0
"Diquattro, Giovanni","Diquattro, Giovanni",http://viaf.org/viaf/,,385,385,sebina,0
"Dennis, Giorgio T.","Dennis, George T.",http://viaf.org/viaf/,http://viaf.org/viaf/17240388,388,388,sebina,0
"Tosoni, Giacomo G.","Tosoni, Giacomo G.",http://viaf.org/viaf/,,398,398,,0
"Zanardo, Piero","Zanardo, Piero",http://viaf.org/viaf/,,406,406,,0
"Pedrini, Gianni","Pedrini, Gianni",http://viaf.org/viaf/,,417,417,sebina,0
"Colar, Nikola","Colar, Nikola",http://viaf.org/viaf/,,419,419,,0
"Pescatori, Bruno","Pescatori, Bruno",http://viaf.org/viaf/,,420,420,sebina,0
"Scapini, Fabio","Scapini, Fabio",http://viaf.org/viaf/,,440,440,,0
"Stoppato, Susanna","Stoppato, Susanna",http://viaf.org/viaf/,,443,443,sebina,0
"Massignan, Lina","Massignan, Lina",http://viaf.org/viaf/,,454,454,sebina,0
"Zampedri, Michele","Zampedri, Michele",http://viaf.org/viaf/,,472,472,,0
"Walker, Johathan","Walker, Johathan",http://viaf.org/viaf/,,474,474,sebina,0
"Montan, Alessandro","Montan, Alessandro",http://viaf.org/viaf/,,489,489,sebina,0
"Cambursano, Severino","Cambursano, Severino",http://viaf.org/viaf/,,494,494,sebina,0
"KRAOS, GUIDO","Kraos, Guido",http://viaf.org/viaf/,,507,507,sebina,0
"Peppo, Paola De","De Peppo, Paola ",http://viaf.org/viaf/,,514,514,,0
"Pajusco, Vittorio","Pajusco, Vittorio",http://viaf.org/viaf/,,540,540,sebina,0
"Mantese, A. Gallo-G.","Mantese, A. Gallo-G.",http://viaf.org/viaf/,,550,550,,0
"POTOP, ANNA","Potop, Anna",http://viaf.org/viaf/,,557,557,sebina,0
"Stevanin, Barbara","Stevanin, Barbara",http://viaf.org/viaf/,,576,576,,0
"Bortolotto, Costante","Bortolotto, Costante",http://viaf.org/viaf/,,599,599,sebina,0
"Bellin, Maria Antonella","Bellin, Maria Antonella",http://viaf.org/viaf/,,610,610,sebina,0
"Grion, Stefania","Grion, Stefania",http://viaf.org/viaf/,,621,621,,0
"Coccato, Stefania","Coccato, Stefania",http://viaf.org/viaf/,,634,634,sebina,0
"Tamburrini, Pierluigi","Tamburrini, Pierluigi",http://viaf.org/viaf/,,636,636,,0
"Olivo, Luca","Olivo, Luca",http://viaf.org/viaf/,,658,658,sebina,0
"Brusegan Flavel, E.","Brusegan Flavel, Maria Emanuela",http://viaf.org/viaf/,,687,687,sebina,0
"Karkazis, Miltos","Karkazis, Miltos",http://viaf.org/viaf/,,697,697,,0
"Grassi, Deuglesse","Grassi, Deuglesse",http://viaf.org/viaf/,,699,699,sebina,0
"Mazou, Sébastien","Mazou, Sébastien",http://viaf.org/viaf/,,705,705,,0
"Checchelli, Carlo","Checchelli, Carlo",http://viaf.org/viaf/,,707,707,,0
"Bagarotto, Cristina","Bagarotto, Cristina",http://viaf.org/viaf/,,708,708,sebina,0
"Kravjauszky, M.","Kravjauszky, M.",http://viaf.org/viaf/,,730,730,,0
"Berna, Alessio","Berna, Alessio",http://viaf.org/viaf/,,770,770,,0
"Caniato, Alison Kershaw","Caniato, Alison Kershaw",http://viaf.org/viaf/,,774,774,sebina,0
