article_id,article_url,article_title,image_number,reference,id,note
LO10016101:2013_67:17,http://lbc.archives.world/document/LO10016101/2013_67/448,Una guaritrice processata dal Tribunale del Sant’Uffizio di Venezia nel Seicento per eresia ed esorcismi,449,"ASve: S. Ufficio, Processi,b. 90.",IT:ASVe:0975.,
LO10016101:2013_67:17,http://lbc.archives.world/document/LO10016101/2013_67/448,Una guaritrice processata dal Tribunale del Sant’Uffizio di Venezia nel Seicento per eresia ed esorcismi,459,"Asve: M. Barbaro, Arbori dè Patritii Veneti, vi.27, ff. 217-227",IT:ASVe:4966.001.,
LO10015953:2013_5:8,http://lbc.archives.world/document/LO10015953/2013_5/108,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,108,"Archivio di Stato Venezia (ASVE), Corporazioni religiose soppresse, S.
Anna, busta (b.) 34, c.n.n.",IT:ASVe:3056.,
LO10015953:2013_5:8,,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,111,"ASVE, Notarile (N), Testamenti (T), Notaio Antonio Brinis, b. 157, n. 579, cc.
1-2, 18 settembre 1582",IT:ASVe:3525.001.,
LO10015953:2013_5:8,,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,112,"AS VE, Provveditori alla Sanità, Necrologi, b. 831 (1603), in data 22 ottobre",IT:ASVe:0720.072.,
LO10015953:2013_5:8,,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,113,"ASVE, Provveditori alla Sanità, Necrologi, bb. 828 (1599, dalla c. 126r), 829 (1601-1602), 830 (1602), 831
(1603), 832 (1604), 833 (1605), 834 (1606), 835 (1607), 836 (1608), 837 (1608-1609),
838 (1609), 839 (1609), 840 (1610), 841 (1610",IT:ASVe:0720.072.,
LO10015953:2013_5:8,,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,113,"ASVE, Provveditori alla Sanità, b. 569, Anagrafi, 1633, Sestiere di Santa Croce, Cittadini",IT:ASVe:0720.050.,
LO10015953:2013_5:8,,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,114,"ASVE, N, T, Notaio Pietro Bracchi, b.177, n. 284, 17 giugno 1630 e 5 agosto, cc. 1-12.",IT:ASVe:3525.001.,
LO10015953:2013_5:8,,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,115,"AS VE, N, Testamenti non pubblicati, Notaio Angelo Canal, bb. 209-211,
n. 467, 7 marzo 1572",IT:ASVe:3525.002.,
LO10015953:2013_5:8,,Arcangela Tarabotti: una famiglia non detta e un segreto indicibile in famiglia,117,"ASVE, N, Atti (A), Notaio Ludovico Bruzzoni, b. 1130, cc. 240r-24l v, 10 gennaio
1660",IT:ASVe:3510.,
